name,label,team_code,role,assigned_lga,pin,phlebotomy_certified
ENU110,Enumerator 110,TM14,Team supervisor,Idi-Oro,5658,yes
ENU111,Enumerator 111,TM15,Enumerator,Ilela,7998,no
ENU112,Enumerator 112,TM16,Enumerator,Katsuma,8778,yes
ENU113,Enumerator 113,TM17,Enumerator,Gwarin,7170,yes
ENU114,Enumerator 114,TM18,Enumerator,Idi-Oro,5381,yes
ENU115,Enumerator 115,TM19,Team supervisor,Ilela,8715,yes
ENU116,Enumerator 116,TM20,Enumerator,Katsuma,9332,no
ENU117,Enumerator 117,TM21,Enumerator,Gwarin,9283,yes
ENU118,Enumerator 118,TM22,Enumerator,Idi-Oro,3996,no
ENU119,Enumerator 119,TM23,Enumerator,Ilela,7782,yes
ENU120,Enumerator 120,TM24,Team supervisor,Katsuma,1282,yes
