household_id,settlement_id,settlement_name,ward_code,lga_code,head_of_household_initials,structure_number,children_under5_last_round,last_visit_date,consent_to_follow_up,gps_longitude,gps_latitude
BAN-000018,S02310,Sarafa,W036,LGA04,F. Ede,60,2,2025-10-03,yes,8.109691,10.693652
BAN-000019,S00663,Adlari-Kofar,W008,LGA01,S. Sule,33,4,2025-11-20,yes,7.193085,10.928275
BAN-000020,S00488,Biluba,W006,LGA01,Y. Bala,8,1,2025-12-08,yes,7.263166,11.201825
BAN-000021,S00340,Hatiwo-Sabo,W004,LGA02,U. Jibo,80,1,2025-11-12,no,7.188611,10.664284
BAN-000022,S00541,Dadeyi,W007,LGA01,B. Ede,20,2,2025-12-03,no,7.398575,11.142949
BAN-000023,S00541,Dadeyi,W007,LGA01,K. Umar,252,2,2025-10-08,no,7.397486,11.142952
BAN-000024,S01110,Oltsija,W015,LGA01,M. Yaro,42,0,2025-10-03,no,7.515351,11.195997
BAN-000025,S01110,Oltsija,W015,LGA01,S. Umar,182,2,2025-10-16,yes,7.51567,11.192588
BAN-000026,S01110,Oltsija,W015,LGA01,F. Zubi,65,2,2025-11-01,yes,7.518104,11.195329
BAN-000027,S00505,Oldeko,W006,LGA01,M. Lami,146,3,2025-10-01,yes,7.253708,11.245345
BAN-000028,S00505,Oldeko,W006,LGA01,Z. Zubi,92,4,2025-10-12,yes,7.253055,11.247587
BAN-000029,S00505,Oldeko,W006,LGA01,I. Dogo,93,4,2025-10-18,yes,7.252538,11.244864
BAN-000030,S00505,Oldeko,W006,LGA01,B. Wada,154,3,2025-11-28,yes,7.253484,11.245426
BAN-000031,S00505,Oldeko,W006,LGA01,I. Dogo,32,3,2025-11-04,yes,7.253655,11.244655
BAN-000032,S00505,Oldeko,W006,LGA01,S. Sule,88,3,2025-11-27,yes,7.254796,11.246377
BAN-000033,S01861,Famata,W029,LGA04,U. Umar,23,2,2025-11-19,yes,7.962367,11.094277
BAN-000034,S01861,Famata,W029,LGA04,F. Umar,180,1,2025-10-06,no,7.964553,11.093447
BAN-000035,S01861,Famata,W029,LGA04,H. Nura,152,4,2025-11-28,no,7.963675,11.095599
BAN-000036,S01861,Famata,W029,LGA04,U. Isa,60,4,2025-10-27,yes,7.963209,11.096409
BAN-000037,S00987,Lozayi,W013,LGA02,Z. Gani,81,2,2025-11-02,yes,7.38766,10.563247
BAN-000038,S00987,Lozayi,W013,LGA02,Y. Jibo,156,0,2025-11-14,yes,7.386977,10.562178
BAN-000039,S01013,Olngoru,W014,LGA01,U. Bala,81,2,2025-11-28,yes,7.507639,11.511073
BAN-000040,S01630,Uzdudu,W023,LGA03,B. Kabo,15,2,2025-11-08,yes,7.812539,11.24658
BAN-000041,S00034,Jitifa,W001,LGA01,K. Ede,239,0,2025-12-06,yes,7.07215,10.966081
BAN-000042,S00034,Jitifa,W001,LGA01,F. Cham,190,3,2025-11-15,yes,7.072017,10.964175
BAN-000043,S00034,Jitifa,W001,LGA01,M. Rabi,53,3,2025-11-20,no,7.07231,10.965455
BAN-000044,S00034,Jitifa,W001,LGA01,K. Haru,59,3,2025-11-16,yes,7.073241,10.965828
BAN-000045,S01826,Dotsiba-Kudu,W028,LGA04,R. Lami,1,2,2025-11-02,yes,7.999353,10.80415
BAN-000046,S01826,Dotsiba-Kudu,W028,LGA04,I. Rabi,42,2,2025-10-15,no,7.999269,10.802458
BAN-000047,S02130,Batiru,W033,LGA03,Z. Umar,41,3,2025-10-08,yes,7.953796,11.193906
BAN-000048,S02237,Irlaba,W035,LGA04,K. Musa,67,0,2025-11-23,no,8.229413,11.009535
BAN-000049,S02237,Irlaba,W035,LGA04,H. Jibo,159,1,2025-11-18,yes,8.229663,11.011269
BAN-000050,S02237,Irlaba,W035,LGA04,H. Kabo,8,0,2025-11-13,yes,8.227918,11.011477
BAN-000051,S02237,Irlaba,W035,LGA04,I. Umar,256,3,2025-11-28,yes,8.22931,11.009099
BAN-000052,S02237,Irlaba,W035,LGA04,A. Musa,56,4,2025-10-09,yes,8.228941,11.011409
BAN-000053,S01948,Lokoma,W030,LGA04,H. Abu,179,4,2025-11-26,yes,7.891968,10.653842
BAN-000054,S01948,Lokoma,W030,LGA04,M. Umar,209,4,2025-12-08,yes,7.893744,10.655126
BAN-000055,S01948,Lokoma,W030,LGA04,R. Gani,10,0,2025-12-03,yes,7.89301,10.65496
BAN-000056,S02163,Zamaru,W033,LGA03,A. Ede,13,3,2025-10-29,no,7.967706,11.194827
BAN-000057,S00415,Yedeja-Arewa,W006,LGA01,U. Sule,232,3,2025-12-01,yes,7.264356,11.222887
BAN-000058,S00415,Yedeja-Arewa,W006,LGA01,M. Ede,153,1,2025-10-30,yes,7.265842,11.223275
BAN-000059,S00901,Dayoni-Kudu,W011,LGA02,U. Gani,77,2,2025-12-08,no,7.709642,10.477017
BAN-000060,S00901,Dayoni-Kudu,W011,LGA02,A. Nura,167,2,2025-11-05,yes,7.708362,10.474996
BAN-000061,S01476,Tayoni,W020,LGA01,Z. Ede,77,0,2025-11-09,yes,7.597023,11.13734
BAN-000062,S01894,Jikode,W029,LGA04,Y. Pama,176,4,2025-10-13,yes,7.953232,10.966569
BAN-000063,S01894,Jikode,W029,LGA04,U. Umar,17,2,2025-10-29,yes,7.953374,10.96672
BAN-000064,S01894,Jikode,W029,LGA04,A. Pama,53,3,2025-10-02,yes,7.953728,10.96665
BAN-000065,S01377,Adrishi,W019,LGA04,F. Pama,179,0,2025-10-22,yes,7.579805,10.976117
BAN-000066,S01377,Adrishi,W019,LGA04,Y. Kabo,42,4,2025-10-18,yes,7.577795,10.97593
BAN-000067,S01377,Adrishi,W019,LGA04,U. Wada,134,3,2025-11-19,yes,7.578454,10.975384
BAN-000068,S01680,Jishari,W025,LGA04,F. Cham,247,0,2025-11-29,yes,7.773077,11.115488
BAN-000069,S01680,Jishari,W025,LGA04,R. Zubi,175,0,2025-12-06,yes,7.772048,11.115785
BAN-000070,S01492,Umdumi-Tudun,W020,LGA01,Z. Cham,236,1,2025-11-14,yes,7.730924,11.188821
BAN-000071,S01492,Umdumi-Tudun,W020,LGA01,F. Umar,153,3,2025-10-12,yes,7.730917,11.191128
BAN-000072,S02320,Kutina,W037,LGA03,I. Jibo,18,2,2025-11-12,yes,8.205708,11.510067
BAN-000073,S02320,Kutina,W037,LGA03,R. Sule,22,2,2025-11-13,yes,8.205219,11.511166
BAN-000074,S02320,Kutina,W037,LGA03,B. Gani,233,0,2025-11-11,yes,8.205964,11.510714
BAN-000075,S02320,Kutina,W037,LGA03,B. Wada,140,1,2025-10-21,yes,8.204464,11.510609
BAN-000076,S01639,Irtiwo,W024,LGA04,B. Isa,52,4,2025-11-29,yes,7.813153,10.735268
BAN-000077,S01639,Irtiwo,W024,LGA04,Y. Dogo,255,4,2025-11-22,yes,7.811784,10.735964
BAN-000078,S01699,Sajiba-Tudun,W025,LGA04,R. Yaro,101,3,2025-11-13,yes,7.820456,11.053421
BAN-000079,S00749,Subadu,W008,LGA01,Y. Abu,90,3,2025-11-09,yes,7.170705,10.915117
BAN-000080,S00814,Kasami,W009,LGA02,I. Dogo,181,1,2025-10-17,yes,7.511415,10.998517
BAN-000081,S00814,Kasami,W009,LGA02,B. Haru,62,4,2025-10-08,yes,7.510892,10.9979
BAN-000082,S00814,Kasami,W009,LGA02,S. Pama,119,0,2025-12-08,yes,7.511352,10.998585
BAN-000083,S02385,Dashatu,W038,LGA03,B. Oje,29,0,2025-12-02,no,8.417843,11.261035
BAN-000084,S02199,Adshale,W034,LGA03,R. Haru,143,1,2025-10-12,yes,8.16979,11.307974
BAN-000085,S02303,Agbashi,W036,LGA04,B. Haru,125,4,2025-10-23,yes,8.107797,10.748386
BAN-000086,S01738,Irrani,W026,LGA03,I. Ede,232,1,2025-11-29,yes,7.757718,11.395295
BAN-000087,S00661,Oldema,W008,LGA01,S. Nura,255,0,2025-11-25,yes,7.22541,10.933246
BAN-000088,S01242,Olratu,W016,LGA02,R. Umar,82,0,2025-10-01,yes,7.570607,10.504859
BAN-000089,S01363,Bitina,W018,LGA02,S. Kabo,53,3,2025-12-04,yes,7.602558,10.618737
BAN-000090,S01363,Bitina,W018,LGA02,K. Cham,212,0,2025-10-30,yes,7.603354,10.619593
BAN-000091,S01363,Bitina,W018,LGA02,H. Abu,58,2,2025-11-08,yes,7.601269,10.619918
BAN-000092,S01363,Bitina,W018,LGA02,Y. Tanko,177,0,2025-11-25,yes,7.603402,10.619169
BAN-000093,S01035,Okberi,W014,LGA01,K. Gani,163,2,2025-12-09,yes,7.373517,11.474009
BAN-000094,S01035,Okberi,W014,LGA01,I. Kabo,42,3,2025-12-04,yes,7.373409,11.475132
BAN-000095,S01035,Okberi,W014,LGA01,H. Lami,232,3,2025-10-18,yes,7.373462,11.474119
BAN-000096,S01035,Okberi,W014,LGA01,A. Wada,82,4,2025-11-10,yes,7.375858,11.474511
BAN-000097,S01035,Okberi,W014,LGA01,K. Kabo,164,3,2025-11-18,yes,7.374824,11.475818
BAN-000098,S00687,Batsisa,W008,LGA01,R. Rabi,217,3,2025-10-16,yes,7.368001,10.870504
BAN-000099,S00789,Matsima,W009,LGA02,U. Kabo,169,2,2025-11-22,yes,7.58331,10.950438
BAN-000100,S00789,Matsima,W009,LGA02,Y. Haru,76,1,2025-10-25,yes,7.582672,10.950657
BAN-000101,S00789,Matsima,W009,LGA02,I. Rabi,159,2,2025-12-01,yes,7.582546,10.950002
BAN-000102,S00789,Matsima,W009,LGA02,U. Gani,252,4,2025-11-28,yes,7.58274,10.951181
BAN-000103,S01475,Ibwaja,W020,LGA01,F. Tanko,157,4,2025-11-10,yes,7.596586,11.053878
BAN-000104,S00250,Bajifa,W003,LGA01,B. Funo,256,2,2025-11-02,yes,7.28929,11.120844
BAN-000105,S00250,Bajifa,W003,LGA01,K. Zubi,83,0,2025-11-17,yes,7.286477,11.120132
BAN-000106,S00250,Bajifa,W003,LGA01,S. Musa,59,3,2025-11-07,yes,7.288526,11.120866
BAN-000107,S01881,Sulale,W029,LGA04,Z. Ede,138,0,2025-12-01,yes,7.934042,11.042631
BAN-000108,S01376,Yewaba,W019,LGA04,M. Tanko,238,1,2025-11-06,yes,7.725997,10.849742
BAN-000109,S01783,Badeko,W027,LGA03,K. Musa,180,3,2025-10-04,yes,7.917398,11.462346
BAN-000110,S01783,Badeko,W027,LGA03,R. Cham,186,0,2025-10-01,yes,7.917282,11.461512
BAN-000111,S01783,Badeko,W027,LGA03,R. Zubi,242,2,2025-10-05,yes,7.917963,11.46259
BAN-000112,S01783,Badeko,W027,LGA03,M. Oje,84,4,2025-10-15,yes,7.916615,11.461498
BAN-000113,S00709,Kayomi,W008,LGA01,F. Tanko,186,2,2025-12-01,yes,7.406442,10.956884
BAN-000114,S02227,Talafa,W035,LGA04,R. Funo,247,3,2025-10-21,yes,8.288328,10.9531
BAN-000115,S02227,Talafa,W035,LGA04,R. Isa,57,3,2025-10-14,yes,8.289625,10.952905
BAN-000116,S00296,Uzbata,W003,LGA01,Y. Bala,159,3,2025-10-26,yes,7.245827,11.040843
BAN-000117,S00296,Uzbata,W003,LGA01,M. Rabi,226,0,2025-11-08,yes,7.244803,11.041321
BAN-000118,S00296,Uzbata,W003,LGA01,M. Haru,187,4,2025-11-24,yes,7.246631,11.041651
BAN-000119,S00296,Uzbata,W003,LGA01,S. Dogo,74,0,2025-10-22,yes,7.245782,11.042888
BAN-000120,S00296,Uzbata,W003,LGA01,K. Sule,218,4,2025-11-29,yes,7.245751,11.041131
BAN-000121,S01514,Daradu-Kudu,W021,LGA02,R. Nura,36,3,2025-10-18,yes,7.879211,10.467077
BAN-000122,S01514,Daradu-Kudu,W021,LGA02,F. Lami,178,4,2025-10-07,yes,7.878852,10.469489
BAN-000123,S01602,Adluna,W023,LGA03,Y. Haru,33,2,2025-11-27,yes,7.837822,11.130442
BAN-000124,S02272,Bishata,W035,LGA04,K. Pama,94,3,2025-10-16,no,8.25418,11.041194
BAN-000125,S02272,Bishata,W035,LGA04,B. Kabo,128,2,2025-11-03,no,8.255417,11.039839
BAN-000126,S02272,Bishata,W035,LGA04,K. Kabo,97,0,2025-11-04,yes,8.257644,11.041764
BAN-000127,S02272,Bishata,W035,LGA04,Y. Gani,110,0,2025-10-15,yes,8.255021,11.041168
BAN-000128,S02272,Bishata,W035,LGA04,B. Funo,176,3,2025-10-04,yes,8.256572,11.042432
BAN-000129,S02272,Bishata,W035,LGA04,H. Umar,153,0,2025-11-20,yes,8.25418,11.040804
BAN-000130,S00409,Famako,W006,LGA01,M. Ede,12,1,2025-11-09,yes,7.282851,11.331543
BAN-000131,S00409,Famako,W006,LGA01,F. Cham,58,1,2025-11-03,yes,7.28356,11.332711
BAN-000132,S00452,Kalude,W006,LGA01,S. Sule,30,3,2025-10-19,yes,7.251112,11.265388
BAN-000133,S00452,Kalude,W006,LGA01,B. Nura,43,4,2025-10-11,yes,7.253334,11.26241
BAN-000134,S00452,Kalude,W006,LGA01,U. Nura,186,1,2025-11-13,no,7.25148,11.263537
BAN-000135,S00452,Kalude,W006,LGA01,S. Kabo,205,3,2025-10-05,yes,7.252112,11.263114
BAN-000136,S00179,Yezawo,W002,LGA01,S. Zubi,66,1,2025-10-12,yes,7.109725,10.727674
BAN-000137,S00179,Yezawo,W002,LGA01,R. Jibo,142,2,2025-11-10,yes,7.109991,10.727531
BAN-000138,S00179,Yezawo,W002,LGA01,K. Umar,37,3,2025-11-10,yes,7.107977,10.729008
BAN-000139,S01599,Umnasa,W023,LGA03,M. Rabi,151,2,2025-10-17,yes,7.839519,11.226721
BAN-000140,S01599,Umnasa,W023,LGA03,H. Haru,69,4,2025-10-17,yes,7.840011,11.227837
BAN-000141,S01548,Salaja,W021,LGA02,U. Wada,107,3,2025-10-01,yes,7.861259,10.471247
BAN-000142,S01548,Salaja,W021,LGA02,B. Isa,256,0,2025-10-10,yes,7.863109,10.471663
BAN-000143,S01731,Kurama,W026,LGA03,H. Nura,93,2,2025-11-21,yes,7.731562,11.379583
BAN-000144,S01483,Irtsishi,W020,LGA01,M. Abu,254,2,2025-11-10,yes,7.55262,11.128396
BAN-000145,S01483,Irtsishi,W020,LGA01,Z. Haru,217,3,2025-10-20,yes,7.552119,11.128282
BAN-000146,S01483,Irtsishi,W020,LGA01,Y. Oje,118,4,2025-11-17,yes,7.551436,11.125904
BAN-000147,S01483,Irtsishi,W020,LGA01,H. Cham,9,3,2025-10-19,yes,7.551844,11.129106
BAN-000148,S02062,Longosa,W032,LGA04,Z. Wada,258,1,2025-10-06,yes,8.053853,10.894341
BAN-000149,S02062,Longosa,W032,LGA04,F. Haru,166,4,2025-10-20,yes,8.052221,10.894587
BAN-000150,S02062,Longosa,W032,LGA04,I. Musa,150,1,2025-11-20,yes,8.053266,10.894177
BAN-000151,S02139,Tademi,W033,LGA03,K. Jibo,154,2,2025-12-05,yes,8.057041,11.075911
BAN-000152,S02139,Tademi,W033,LGA03,U. Bala,202,0,2025-10-04,no,8.05588,11.076805
BAN-000153,S00735,Zaduko-Arewa,W008,LGA01,I. Zubi,103,4,2025-10-17,yes,7.220987,10.92987
BAN-000154,S01456,Kujidu-Kofar,W020,LGA01,A. Haru,70,1,2025-10-30,yes,7.71873,11.118388
BAN-000155,S01456,Kujidu-Kofar,W020,LGA01,H. Dogo,70,3,2025-11-08,yes,7.716546,11.118739
BAN-000156,S01713,Adtsima,W026,LGA03,U. Rabi,109,4,2025-10-30,yes,7.648069,11.402464
BAN-000157,S01713,Adtsima,W026,LGA03,Z. Haru,178,2,2025-10-27,yes,7.649957,11.402688
BAN-000158,S01717,Adrari,W026,LGA03,K. Abu,126,2,2025-11-29,yes,7.699226,11.526141
BAN-000159,S01717,Adrari,W026,LGA03,I. Isa,147,3,2025-11-07,yes,7.700557,11.524
BAN-000160,S01145,Dangode,W015,LGA01,H. Ede,16,0,2025-11-02,yes,7.493179,11.356756
BAN-000161,S01145,Dangode,W015,LGA01,B. Kabo,32,4,2025-10-29,yes,7.493459,11.356568
BAN-000162,S01145,Dangode,W015,LGA01,A. Cham,26,0,2025-10-30,yes,7.492764,11.355456
BAN-000163,S01145,Dangode,W015,LGA01,Z. Bala,123,2,2025-11-30,yes,7.493499,11.357272
BAN-000164,S01145,Dangode,W015,LGA01,Y. Yaro,216,3,2025-11-24,no,7.49291,11.354613
BAN-000165,S00690,Nulade-Sabo,W008,LGA01,B. Rabi,161,2,2025-10-26,yes,7.349705,10.864647
BAN-000166,S01715,Jitsiri,W026,LGA03,U. Pama,109,1,2025-11-28,yes,7.750583,11.412542
BAN-000167,S01715,Jitsiri,W026,LGA03,K. Sule,128,1,2025-10-30,yes,7.750729,11.411039
BAN-000168,S01715,Jitsiri,W026,LGA03,A. Jibo,243,2,2025-10-14,yes,7.749675,11.410297
BAN-000169,S01939,Bizadu,W030,LGA04,H. Yaro,96,0,2025-10-12,yes,7.992667,10.520725
BAN-000170,S01939,Bizadu,W030,LGA04,S. Wada,81,1,2025-10-31,yes,7.993166,10.522716
BAN-000171,S01550,Kungosa-Arewa,W021,LGA02,B. Bala,93,3,2025-11-27,yes,7.894693,10.543679
BAN-000172,S01550,Kungosa-Arewa,W021,LGA02,M. Funo,112,2,2025-11-26,yes,7.893408,10.544067
BAN-000173,S01550,Kungosa-Arewa,W021,LGA02,S. Sule,111,4,2025-11-11,yes,7.894981,10.542583
BAN-000174,S01550,Kungosa-Arewa,W021,LGA02,U. Yaro,19,0,2025-10-16,yes,7.893532,10.543783
BAN-000175,S01901,Fabawa,W029,LGA04,M. Musa,205,2,2025-12-09,yes,7.973626,11.04553
BAN-000176,S01901,Fabawa,W029,LGA04,M. Isa,60,2,2025-10-10,yes,7.974144,11.044824
BAN-000177,S01901,Fabawa,W029,LGA04,B. Jibo,171,4,2025-11-05,yes,7.97427,11.04585
BAN-000178,S01996,Dararu,W031,LGA03,I. Cham,200,0,2025-12-07,no,8.081432,11.324633
BAN-000179,S01440,Jidudu,W020,LGA01,M. Jibo,15,2,2025-10-08,yes,7.585388,11.073965
BAN-000180,S01440,Jidudu,W020,LGA01,M. Tanko,63,3,2025-11-02,yes,7.585456,11.074499
BAN-000181,S01440,Jidudu,W020,LGA01,F. Oje,256,4,2025-10-12,yes,7.586535,11.072936
BAN-000182,S01440,Jidudu,W020,LGA01,S. Kabo,183,1,2025-10-23,yes,7.584802,11.073332
BAN-000183,S01440,Jidudu,W020,LGA01,H. Nura,47,0,2025-10-09,no,7.585445,11.075771
BAN-000184,S00702,Bilaba,W008,LGA01,H. Zubi,16,2,2025-10-13,yes,7.25755,10.887668
BAN-000185,S00702,Bilaba,W008,LGA01,A. Funo,144,0,2025-10-24,yes,7.256857,10.888249
BAN-000186,S02078,Adzaja,W032,LGA04,A. Tanko,96,0,2025-12-03,yes,8.086377,10.908765
BAN-000187,S02078,Adzaja,W032,LGA04,Z. Isa,202,1,2025-10-20,yes,8.085346,10.908662
BAN-000188,S02078,Adzaja,W032,LGA04,S. Jibo,26,2,2025-11-22,yes,8.085749,10.908545
BAN-000189,S00583,Bideba,W007,LGA01,K. Haru,171,2,2025-10-23,yes,7.410652,11.150249
BAN-000190,S00583,Bideba,W007,LGA01,Z. Tanko,197,0,2025-10-03,yes,7.410976,11.150662
BAN-000191,S00583,Bideba,W007,LGA01,H. Isa,226,0,2025-12-07,yes,7.412189,11.151337
BAN-000192,S00583,Bideba,W007,LGA01,F. Pama,157,3,2025-10-11,yes,7.411851,11.150551
BAN-000193,S01070,Irdeni-Arewa,W014,LGA01,B. Haru,240,4,2025-11-28,yes,7.525315,11.507519
BAN-000194,S01070,Irdeni-Arewa,W014,LGA01,R. Umar,94,2,2025-10-07,no,7.525322,11.50717
BAN-000195,S01070,Irdeni-Arewa,W014,LGA01,K. Abu,107,4,2025-10-30,yes,7.524956,11.507307
BAN-000196,S01070,Irdeni-Arewa,W014,LGA01,S. Jibo,237,1,2025-11-20,yes,7.525836,11.506482
BAN-000197,S01070,Irdeni-Arewa,W014,LGA01,K. Isa,30,3,2025-10-22,yes,7.526411,11.505576
BAN-000198,S01844,Dozasa,W029,LGA04,R. Abu,215,4,2025-11-12,yes,7.956112,11.065488
BAN-000199,S01844,Dozasa,W029,LGA04,B. Bala,64,1,2025-10-13,yes,7.955705,11.06466
BAN-000200,S01844,Dozasa,W029,LGA04,Z. Oje,66,2,2025-10-29,yes,7.953964,11.065527
BAN-000201,S00893,Sashaba,W011,LGA02,M. Nura,108,1,2025-10-15,yes,7.730508,10.472678
BAN-000202,S00893,Sashaba,W011,LGA02,B. Funo,127,0,2025-10-02,yes,7.730166,10.471421
BAN-000203,S01051,Okshami-Yamma,W014,LGA01,Z. Yaro,241,4,2025-10-14,yes,7.469496,11.473492
BAN-000204,S01051,Okshami-Yamma,W014,LGA01,A. Dogo,65,3,2025-11-04,yes,7.469738,11.474822
BAN-000205,S01051,Okshami-Yamma,W014,LGA01,M. Yaro,253,0,2025-11-20,yes,7.467992,11.473191
BAN-000206,S01037,Kabeyi-Arewa,W014,LGA01,U. Musa,194,1,2025-12-04,yes,7.488932,11.47117
BAN-000207,S01037,Kabeyi-Arewa,W014,LGA01,H. Nura,249,1,2025-10-09,yes,7.488892,11.470734
BAN-000208,S01974,Kaluba,W030,LGA04,S. Zubi,193,0,2025-12-08,yes,8.053267,10.574314
BAN-000209,S01974,Kaluba,W030,LGA04,R. Ede,218,1,2025-11-17,yes,8.052226,10.572869
BAN-000210,S01974,Kaluba,W030,LGA04,U. Oje,99,2,2025-11-19,no,8.05389,10.574608
BAN-000211,S00202,Kudema-Gabas,W002,LGA01,I. Tanko,83,0,2025-12-01,yes,7.221385,10.804156
BAN-000212,S00524,Umnana-Tudun,W006,LGA01,Z. Umar,130,2,2025-11-11,yes,7.285547,11.175203
BAN-000213,S00524,Umnana-Tudun,W006,LGA01,S. Gani,106,1,2025-12-01,yes,7.284725,11.175151
BAN-000214,S00712,Gulako,W008,LGA01,I. Dogo,136,4,2025-10-25,yes,7.441037,10.949185
BAN-000215,S00712,Gulako,W008,LGA01,I. Yaro,110,2,2025-11-23,yes,7.442012,10.949729
BAN-000216,S00712,Gulako,W008,LGA01,M. Zubi,32,1,2025-11-20,yes,7.439578,10.948993
BAN-000217,S00712,Gulako,W008,LGA01,M. Dogo,78,2,2025-12-05,yes,7.442258,10.949439
BAN-000218,S02376,Sutile,W038,LGA03,I. Sule,223,0,2025-12-06,yes,8.365111,11.423849
BAN-000219,S01956,Oltsiwa,W030,LGA04,U. Oje,55,1,2025-11-04,yes,8.036807,10.579961
BAN-000220,S01956,Oltsiwa,W030,LGA04,H. Dogo,250,2,2025-10-30,yes,8.038891,10.579125
BAN-000221,S01278,Agrimi,W017,LGA03,Y. Lami,60,4,2025-11-11,yes,7.526592,11.424277
BAN-000222,S01278,Agrimi,W017,LGA03,U. Oje,138,3,2025-10-22,yes,7.527661,11.42515
BAN-000223,S01278,Agrimi,W017,LGA03,R. Abu,130,3,2025-11-30,yes,7.527964,11.425917
BAN-000224,S01278,Agrimi,W017,LGA03,Z. Abu,179,4,2025-10-05,yes,7.526762,11.423281
BAN-000225,S02141,Umlari,W033,LGA03,A. Musa,56,1,2025-10-07,yes,7.959834,11.16038
BAN-000226,S02141,Umlari,W033,LGA03,F. Ede,167,4,2025-10-24,yes,7.958804,11.158932
BAN-000227,S01814,Yezashi,W028,LGA04,I. Funo,161,3,2025-10-14,yes,7.979254,10.788948
BAN-000228,S01814,Yezashi,W028,LGA04,I. Cham,185,4,2025-11-21,yes,7.978924,10.789862
BAN-000229,S01147,Kanale,W015,LGA01,B. Musa,56,2,2025-10-01,yes,7.537971,11.286823
BAN-000230,S01147,Kanale,W015,LGA01,S. Umar,224,4,2025-11-04,yes,7.537862,11.288389
BAN-000231,S01147,Kanale,W015,LGA01,H. Gani,102,4,2025-12-03,yes,7.538251,11.287948
BAN-000232,S01147,Kanale,W015,LGA01,F. Lami,2,1,2025-10-10,yes,7.538453,11.28796
BAN-000233,S02368,Zabadu,W038,LGA03,M. Tanko,199,2,2025-11-27,yes,8.414793,11.276656
BAN-000234,S02368,Zabadu,W038,LGA03,M. Musa,155,0,2025-12-07,yes,8.413393,11.276981
BAN-000235,S00656,Okbaba-Tsakiya,W007,LGA01,I. Bala,248,4,2025-11-14,yes,7.382891,11.181963
BAN-000236,S00656,Okbaba-Tsakiya,W007,LGA01,H. Kabo,163,2,2025-10-23,yes,7.383402,11.181966
BAN-000237,S00656,Okbaba-Tsakiya,W007,LGA01,M. Gani,99,3,2025-10-29,yes,7.382819,11.183691
BAN-000238,S00656,Okbaba-Tsakiya,W007,LGA01,Y. Dogo,84,1,2025-10-26,yes,7.382357,11.18462
BAN-000239,S00111,Biduja-Sabo,W001,LGA01,Y. Musa,157,0,2025-10-26,yes,7.155063,11.167498
BAN-000240,S01771,Yengodu,W027,LGA03,B. Rabi,234,1,2025-11-08,yes,7.924462,11.462788
BAN-000241,S02171,Umngota-Kudu,W034,LGA03,I. Oje,80,4,2025-10-05,yes,8.112383,11.198112
BAN-000242,S02171,Umngota-Kudu,W034,LGA03,R. Funo,101,2,2025-11-04,yes,8.112038,11.198767
BAN-000243,S01790,Irkona,W027,LGA03,F. Ede,16,4,2025-10-25,yes,7.943327,11.507108
BAN-000244,S01790,Irkona,W027,LGA03,S. Funo,89,0,2025-10-06,yes,7.945544,11.506684
BAN-000245,S01790,Irkona,W027,LGA03,A. Funo,194,0,2025-10-24,no,7.944125,11.5048
BAN-000246,S01790,Irkona,W027,LGA03,S. Zubi,73,4,2025-12-07,yes,7.944931,11.507196
BAN-000247,S01790,Irkona,W027,LGA03,I. Funo,216,3,2025-10-14,yes,7.945248,11.50457
